year,high_temp_yr,mean_max_temp_hunting_season,mean_waterlevel_hunting_season,low_temp_hunting_season,mean_temp_hunting_season,temp_range,days_abv_10,days_abv_15.5,leaf_drop_doy,latitude_n,latitude_s,longitude_e,longitude_w
2000,16.7,8.48,32.58,-8.3,5.81,25,15,0,247.643,64.932154,64.552452,-156.665039,-158.532715
2001,21.7,13.67,31.41,-2.2,8.97,23.9,25,5,244.27,64.932154,64.552452,-156.665039,-158.532715
2002,18.3,10.74,-9999,-6.1,8.18,24.4,15,2,240.342,64.932154,64.552452,-156.665039,-158.532715
2003,21.7,9.19,32.03,-9.4,6.61,31.1,15,3,242.694,64.932154,64.552452,-156.665039,-158.532715
2004,23.3,7.19,-9999,-7.8,5.85,31.1,12,5,246.24,64.932154,64.552452,-156.665039,-158.532715
2005,16.1,11.85,31.82,-3.3,9.24,19.4,22,1,243.552,64.932154,64.552452,-156.665039,-158.532715
2006,21.7,15.26,31.36,-2.2,10.33,23.9,23,19,242.586,64.932154,64.552452,-156.665039,-158.532715
2007,23.9,11.67,31.3,-2.2,10.49,26.1,21,11,242.585,64.932154,64.552452,-156.665039,-158.532715
2008,20.6,10.44,31.68,-10.6,7.4,31.1,17,10,243.099,64.932154,64.552452,-156.665039,-158.532715
2009,22.8,11.26,31.33,-4.4,7.57,27.2,19,13,238.115,64.932154,64.552452,-156.665039,-158.532715
2010,21.1,15.88,31.82,-11.1,8.47,32.2,22,15,241.404,64.932154,64.552452,-156.665039,-158.532715
2011,19.4,13.41,31.89,-2.8,8.64,22.2,21,5,240.249,64.932154,64.552452,-156.665039,-158.532715
2012,15.6,8.78,32,-4.4,6.22,20,12,1,244.296,64.932154,64.552452,-156.665039,-158.532715
2013,16.1,6.26,32.1,-3.3,6.19,19.4,13,0,242.503,64.932154,64.552452,-156.665039,-158.532715
2014,20.6,12.41,32.27,-10,5.55,30.6,16,11,241.334,64.932154,64.552452,-156.665039,-158.532715
2015,17.8,5.74,33.14,-3.9,5.78,21.7,9,3,240.86,64.932154,64.552452,-156.665039,-158.532715
2016,21.7,8.22,32.65,-3.3,8.75,25,14,6,244.957,64.932154,64.552452,-156.665039,-158.532715
